,Device,frequency_component,operating_frequency_mhz,Algorithm,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
46,JetsonOrinNanoSuper,GPU,816.0,SPMV,1.0,CUDA→ONS,5.304621,33.8941595,13.534090909090908,0.07179310691515152,0.00038083483987557125,0.004536662385498805,0.12152426540860047,0.0447906055675451,0.00020066031472719796,9.433774917001898e-07
47,JetsonOrinNanoSuper,GPU,816.0,SPMV,,clvk→ONS,6.812119,88.72592566666667,10.974242424242425,0.0747579756378788,0.0005092632808586438,0.01539450837149392,0.2705542255886345,0.019213172708058456,0.0002627333452133274,2.8727875301316545e-06
48,JetsonOrinNanoSuper,GPU,816.0,SRAD,,CUDA→ONS,9.2644655,16.567793833333333,15.092708333333334,0.13982587769895835,0.0012954161259646137,0.018028063309739713,0.02928237460600919,0.009199750902424805,0.00028630616312045557,5.111685353492162e-06
49,JetsonOrinNanoSuper,GPU,816.0,SRAD,,clvk→ONS,6.9096581666666665,11.8339585,17.185,0.11874293498833333,0.0008205069127687356,0.04626122826478618,0.24006419677807028,0.02345207879911625,0.000888248177583015,1.1595558728943928e-05
50,JetsonOrinNanoSuper,GPU,918.0,BFS,,CUDA→ONS,164.50167083333335,236.68112266666665,15.217857142857142,2.5033604883791667,0.4118086735482995,0.4060087988403247,0.24461149649161956,0.02347382389307804,0.006202665323733505,0.0019346664528064026
51,JetsonOrinNanoSuper,GPU,918.0,BFS,,clvk→ONS,212.05632933333334,417.5483365,12.854583333333332,2.72589157914125,0.5780427814199214,0.3213659431848267,0.3271788654083421,0.02642993883206447,0.00459335541838955,0.0014204203884506134
52,JetsonOrinNanoSuper,GPU,918.0,FFT,,CUDA→ONS,0.05800833333333333,0.21135316666666668,11.126190476190475,0.0006454199059523809,3.7443433959475e-08,0.0005897333860878724,0.005669245784640744,0.04921146926767113,7.99991416464207e-06,8.341281953699622e-10
53,JetsonOrinNanoSuper,GPU,918.0,FFT,,clvk→ONS,0.03025716666666667,2.518178333333333,10.575757575757576,0.00031999455,9.68662359589091e-09,0.0007093282502950695,0.05414374066378011,0.01512118175742289,7.6173595923298305e-06,4.610330032218432e-10
54,JetsonOrinNanoSuper,GPU,918.0,KMeans,,CUDA→ONS,658.5695475,675.1059598333333,13.003787878787877,8.563882113108333,5.639929872139722,1.6316936964410456,1.6683466350822382,0.024799471246473755,0.019372872811563187,0.024474864910206447
55,JetsonOrinNanoSuper,GPU,918.0,KMeans,,clvk→ONS,652.5895858333333,699.0240268333333,11.837878787878788,7.725275200564394,5.041434697541168,0.36951711463442954,0.37234495901541,0.014277841199261052,0.009133934606080453,0.007096696590986342
56,JetsonOrinNanoSuper,GPU,918.0,SPMV,1.0,CUDA→ONS,5.174103,33.5008525,13.928787878787878,0.0720689010090909,0.00037289180359850537,0.0051794167239176125,0.06668683341335124,0.03196933792703739,0.0001353946758672659,7.268960056290483e-07
57,JetsonOrinNanoSuper,GPU,918.0,SPMV,,clvk→ONS,6.373839833333332,87.73961866666667,11.40227272727273,0.0726762282121212,0.0004632276182157538,0.011162031596742216,0.1998789011423318,0.019865248530374382,0.00016329111887211607,1.682019893974206e-06
58,JetsonOrinNanoSuper,GPU,918.0,SRAD,,CUDA→ONS,8.362515,14.883625833333333,16.058611111111112,0.13429020372875,0.001123007092482581,0.018723043374408707,0.032036631367337524,0.02570082503359372,0.00028464707516435436,4.553194608335408e-06
59,JetsonOrinNanoSuper,GPU,918.0,SRAD,,clvk→ONS,6.563818333333334,11.6760015,18.163333333333334,0.11922240608166668,0.0007826078293761674,0.05341470260018951,0.29002610789220234,0.0492612085384299,0.0012248600620415212,1.4391052504419979e-05
60,JetsonOrinNanoSuper,GPU,1020.0,BFS,,CUDA→ONS,162.7916125,234.26323133333335,15.84345238095238,2.5791835835089287,0.41987067457197297,0.2501065848191456,0.4457106470389398,0.024266448941237567,0.006804768183312875,0.0016948342055089862
61,JetsonOrinNanoSuper,GPU,1020.0,BFS,,clvk→ONS,210.05776783333332,414.8736955,13.278750000000002,2.7893037907820837,0.5859154684665703,0.25276374273809393,0.21735506952887026,0.008329165624479962,0.0030032770581070673,0.0012862095285106504
62,JetsonOrinNanoSuper,GPU,1020.0,FFT,,CUDA→ONS,0.054600166666666665,0.20721816666666668,11.65378787878788,0.0006363010469696969,3.474721175192879e-08,0.0007136050494963355,0.005762631531398355,0.03861407556780307,8.77583054352364e-06,9.258992784760349e-10
63,JetsonOrinNanoSuper,GPU,1020.0,FFT,,clvk→ONS,0.02873516666666667,2.5659726666666667,10.970454545454546,0.00031523615227272735,9.060140314067425e-09,0.00044693955594315695,0.021829555127548115,0.00800309857348136,4.774706967342559e-06,2.7757367957481863e-10
64,JetsonOrinNanoSuper,GPU,1020.0,KMeans,,CUDA→ONS,656.8820655000001,673.3930493333334,13.472727272727274,8.850004814876515,5.813438901470605,1.3881681084258906,1.419700354006395,0.019497827808661505,0.02769898154143817,0.029901736006156098
65,JetsonOrinNanoSuper,GPU,1020.0,KMeans,,clvk→ONS,646.326088,692.6822910000001,12.287878787878787,7.941964702612121,5.133102148389847,1.0309882010783726,1.1344689748249888,0.016430838438455764,0.006771562568144265,0.011194551392941794
66,JetsonOrinNanoSuper,GPU,1020.0,SPMV,1.0,CUDA→ONS,5.090194333333334,33.121846833333336,14.396212121212121,0.07327953075681819,0.00037300772419192676,0.007093885160239705,0.02632066247962936,0.013911368401380252,0.00013341562383697146,1.1548515066125177e-06
67,JetsonOrinNanoSuper,GPU,1020.0,SPMV,,clvk→ONS,6.1137215000000005,87.14592633333332,11.76590909090909,0.07193350512348486,0.0004397817787060178,0.005322468102299569,0.17209621728749758,0.009425655160603131,9.805068370446857e-05,9.424807771402648e-07
68,JetsonOrinNanoSuper,GPU,1020.0,SRAD,,CUDA→ONS,7.592195,13.4439535,17.5325,0.13310955858541665,0.001010596233944168,0.021985549508711306,0.04105838945087795,0.05942432162002294,0.00039941233913488763,4.881401996699456e-06
69,JetsonOrinNanoSuper,GPU,1020.0,SRAD,,clvk→ONS,6.333569499999999,11.624930833333332,19.523333333333333,0.12365067859166667,0.0007832351640368224,0.07673412168976715,0.13319676306790146,0.036696957185393474,0.0013386951980570946,1.7925522865011086e-05
70,OrangePi5Ultra,GPU,300.0,BFS,,OpenCL→OPI,1332.954338,1383.556648,3.3918506493506495,4.52118338481935,6.02653498914974,0.9271389673524485,1.3340052856349705,0.0023648610118892958,0.006006504458044121,0.012070267079441872
71,OrangePi5Ultra,GPU,300.0,BFS,,clvk→OPI,1301.09474725,1345.5576927500001,3.417590909090909,4.446601954249318,5.78567903421764,9.646946678661688,9.695751748044005,0.001826496141323695,0.03165328118435813,0.08411858096710856
72,OrangePi5Ultra,GPU,300.0,FFT,,OpenCL→OPI,0.1852755,0.63905625,3.2701360887096773,0.0006058764309475807,1.122557036882189e-07,0.0008038219122832247,0.0026184288386994657,0.0062263116603405565,2.959709720978957e-06,1.0160138770360758e-09
