Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
1,UPF-OS,nano_cufft,GPU,510.0,363.8975792412659,1218898.3179106233,9.649999999999999,7.383759523071001,23843.989121051865,0.022689048005772882
1,UPF-OS,nano_cufft,GPU,612.0,432.1725498968576,1485705.6151850459,9.903846153846155,5.245575062027556,19650.57446923249,0.018684550463833053
1,UPF-OS,nano_cufft,GPU,714.0,433.9362910582137,1511056.8119698076,10.032051282051283,1.5209547499839544,7031.230841633497,0.046769399459885015
1,UPF-OS,nano_cufft,GPU,816.0,451.17219592090174,1598400.7308523264,10.206410256410257,3.4076125097275205,15370.309344572837,0.04469930215799985
1,UPF-OS,nano_cufft,GPU,918.0,452.2923041170832,1663345.9967979987,10.594871794871795,2.7551046430096258,10533.488349673205,0.009315847243376429
1,UPF-OS,nano_cufft,GPU,1020.0,438.77795397824116,1680424.9397648817,11.033516483516484,3.076405769275533,11140.796937244444,0.06361014426051746
2,UPF-OS,RPi_fftw,CPU,1600.0,267.3039944080418,316097.065158078,5.111111111111111,3.421279533346955,526.2981875991533,0.06009252125773331
2,UPF-OS,RPi_fftw,CPU,1700.0,281.8593839398454,335491.7742968097,5.144444444444444,3.4786727385375427,1349.2838004856699,0.05270462766947308
2,UPF-OS,RPi_fftw,CPU,1800.0,298.83582306121366,355702.4041314321,5.144444444444444,3.186930907833283,533.2429361413663,0.05270462766947341
2,UPF-OS,RPi_fftw,CPU,1900.0,306.3987967595165,374169.03683017916,5.277777777777778,2.98877942705391,1718.9877771488566,0.04409585518440967
2,UPF-OS,RPi_fftw,CPU,2100.0,338.56680599384634,415219.4502398164,5.3,0.8422556548052581,1032.9451197173123,0.0
2,UPF-OS,RPi_fftw,CPU,2200.0,347.1653026518897,434641.19616341987,5.411111111111111,4.151113896944253,1395.52434555594,0.060092521257733164
2,UPF-OS,RPi_fftw,CPU,2300.0,355.3255672863149,453943.66261164343,5.522222222222222,5.878172773815075,1100.1803598037905,0.08333333333333343
2,UPF-OS,RPi_fftw,CPU,2400.0,366.89990286934824,473479.7822631007,5.5777777777777775,5.253849118375264,1630.8750580191363,0.06666666666666658
