Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,conv_avg_ms,mflops_per_w_std,throughput_std,run_power_w_std,conv_avg_ms_std
JetsonOrinNanoSuper,UPF-OS,nano-clfft,510.0,814.0244751518376,312650.81814140204,9.406410256410256,0.8272576666666667,8.545045812970992,3278.8959167260596,0.01714309194917751,0.010086529684022493
JetsonOrinNanoSuper,UPF-OS,nano-clfft,612.0,830.6922514207989,322749.08637310466,9.515384615384615,0.8028551666666667,7.097059697297554,2851.102014911007,0.024325212770525337,0.009470035362482379
JetsonOrinNanoSuper,UPF-OS,nano-clfft,714.0,835.6658796751425,330194.53413239436,9.676923076923076,0.7824136666666667,9.26918778793646,3808.4332014823685,0.018842228790641027,0.01188310452140629
JetsonOrinNanoSuper,UPF-OS,nano-clfft,816.0,836.6600687446194,334403.94143064163,9.788675213675214,0.7826715000000001,4.166832051263094,1739.0251383215045,0.020261548628820465,0.014932154817707979
JetsonOrinNanoSuper,UPF-OS,nano-clfft,918.0,839.7375321034469,348333.810734112,10.158760683760683,0.7433981666666667,9.485130667685668,5023.065661769899,0.03444322493652471,0.010644029808614177
JetsonOrinNanoSuper,UPF-OS,nano-clfft,1020.0,817.3290619444384,352466.3057806678,10.561538461538463,0.7368448333333334,12.530378452917502,5139.320255054842,0.027520836646151643,0.010626075332250693
JetsonOrinNanoSuper,UPF-OS,nano-cufft,306.0,1819.347287161371,705600.2520129085,9.498245614035087,0.3636276666666667,9.756479462600174,4144.551119101962,0.007923922660095685,0.0017412482495803498
JetsonOrinNanoSuper,UPF-OS,nano-cufft,408.0,2065.8793288717443,827920.5523640973,9.814912280701755,0.31007666666666667,12.315586921155179,4366.784684704697,0.0077471586546743855,0.002396658229006936
JetsonOrinNanoSuper,UPF-OS,nano-cufft,510.0,2177.568149406917,890053.2966805097,10.01025641025641,0.2898945,8.890366824408467,3824.250568339398,0.006280742930213157,0.0036698534984383356
JetsonOrinNanoSuper,UPF-OS,nano-cufft,612.0,2383.513951742006,1003179.4744351743,10.307692307692308,0.2565275,14.91678296493463,6793.532580909244,0.01754116038614202,0.001839145100311551
JetsonOrinNanoSuper,UPF-OS,nano-cufft,714.0,2464.0739645382077,1060557.9105663688,10.54102564102564,0.24312266666666668,18.106445066753007,11464.962620669156,0.08766081305781223,0.0034881693575092745
JetsonOrinNanoSuper,UPF-OS,nano-cufft,816.0,2573.5404004408356,1122788.3180142308,10.684615384615384,0.229194,29.37102032772754,15341.910845773207,0.026199055947579333,0.0041214750757465396
JetsonOrinNanoSuper,UPF-OS,nano-cufft,918.0,2524.4455187707954,1155421.4282029392,11.20897435897436,0.22306816666666665,28.136702664555244,16114.285333336897,0.04335532744826126,0.0028031193636138103
JetsonOrinNanoSuper,UPF-OS,nano-cufft,1020.0,2596.649055077885,1251956.160057515,11.80787545787546,0.20646783333333332,21.26789602628899,13120.332505474264,0.044455495815020424,0.001818407700892923
RaspberryPiComputeModule5,OLA,RPi-clfft,500.0,1342.34422849381,179091.52042983985,3.78859649122807,28.633900666666666,7.120617831313497,412.1538157287104,0.018657628731432313,0.06597968683365198
RaspberryPiComputeModule5,OLA,RPi-clfft,550.0,1456.6830288861563,193627.5824661794,3.7754385964912274,26.484216333333336,26.381566959222962,385.27863703661654,0.06152869444473764,0.052668738062219396
RaspberryPiComputeModule5,OLA,RPi-clfft,600.0,1544.6981682944836,206955.81274992475,3.8045546558704455,24.7785385,8.654351835877588,412.20942896020557,0.022244283379350766,0.04943997705804673
