,frequency_component,operating_frequency_mhz,Algorithm,test_name,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
18,GPU,400.0,SRAD,,,OpenCL,38.46682875,57.612795,3.7295384615384615,0.14346353996703848,0.005518588731553006,0.012483673908350246,0.03451302038362016,0.008095095551759409,0.00032834661619486095,1.3491493117673925e-05
19,GPU,400.0,SRAD,,,clvk,36.566218,54.21810025,3.696,0.13514823469700002,0.004941878024138505,0.11500565378276108,0.14960459401006682,0.011775681155103756,0.00042870748228099597,2.6974685396479412e-05
20,GPU,500.0,BFS,,,OpenCL,847.445865,898.0511415,3.826191322901849,3.242484393255921,2.747865243979702,3.733067127741617,3.7306056847124522,0.0027682738554598283,0.012694277704525903,0.02277898594095939
21,GPU,500.0,BFS,,,clvk,831.2865762499999,875.57339025,3.8552631578947367,3.204803667803289,2.664134991949694,3.9582407029507967,3.9344345695975496,0.008859214858211959,0.008666281923116761,0.019702651430858947
22,GPU,500.0,FFT,,,OpenCL,0.11464175,0.4677265,3.6631923076923076,0.00041995485946153845,4.81444445840043e-08,0.00016536903176431116,0.004488143677141677,0.012494337968148916,1.5835907539333352e-06,2.204622092010298e-10
23,GPU,500.0,FFT,,,clvk,0.09893974999999999,6585310451073.489,3.641153846153846,0.00036025543030769234,3.564672816395646e-08,0.0010638773033891968,3152281741094.6963,0.004722684356858539,3.969905807846933e-06,7.70998357092828e-10
24,GPU,500.0,KMeans,,,OpenCL,1475.45498175,1499.9693365,4.364423076923077,6.439510035646154,9.501210072291412,0.8772190174124977,1.110127898514254,0.005769230769231218,0.009573411426335986,0.01747028257872094
25,GPU,500.0,KMeans,,,clvk,1581.334679,1606.3055065,4.460576923076923,7.053649757946154,11.154178710016453,2.554195270581015,1.8107561310791902,0.008528291471570361,0.005035376698378658,0.017905287226521998
26,GPU,500.0,SPMV,,,OpenCL,112.35329325000001,132.07792725000002,4.642592592592592,0.5216117067212963,0.05860704322899238,0.7807101708493213,0.7641158000714998,0.0037037037037031726,0.003859415103321409,0.0008390952603447949
27,GPU,500.0,SPMV,,,clvk,102.4857245,127.999989,4.650925925925926,0.4766466972824074,0.048855587750291446,1.3965668378406815,1.5910484472961004,0.010199204717196597,0.005884154366874292,0.001265926972156667
