,frequency_component,operating_frequency_mhz,Algorithm,test_name,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
10,CPU,1600.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,26.2788185,26.27919,4.3468294051627385,0.11422953772438833,0.0030018172412878933,0.003232393401181909,0.00323063702696478,0.010062742701429763,0.00026311152738276496,6.899085104980453e-06
11,CPU,1600.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,7.239167833333333,7.239871333333333,6.691025641025642,0.048437458125641035,0.00035064753166910126,0.010733373363796896,0.010739294346774925,0.06835630056132372,0.0004998074611217518,3.7259611024250167e-06
12,CPU,1600.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.37558933333333333,0.375805,4.153652968036529,0.0015600681082191782,5.859453837856927e-07,0.00029812659503416887,0.0003090766895125215,0.02443455751954486,9.331724177878177e-06,3.622586814371279e-09
13,CPU,1600.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.10562083333333333,0.10579916666666667,6.875438596491229,0.000726191950877193,7.670174030497545e-08,0.0002916418465629823,0.00029470352333602626,0.03255792479905152,4.474961404826755e-06,6.365271223279674e-10
14,CPU,1600.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,4998.601563,4998.603474333333,4.018055555555556,20.08467395929328,100.39536668417759,1.5629979004545855,1.5630317824060014,0.02474619312286372,0.12675832992434435,0.6500680803174297
15,CPU,1600.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1251.6776783333332,1251.6796023333334,6.95,8.699144735016668,10.888510056655543,0.8009017629082156,0.8011001216743648,0.04584801867394564,0.0548416111419132,0.06603901138863699
16,CPU,1600.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,17.3178825,17.318404166666667,8.555128205128204,0.1481623107551282,0.0025665449684732135,0.2883022131186313,0.28831494757880094,0.04469930215800073,0.0029371998107574626,9.188025855951357e-05
17,CPU,1600.0,SPMV,SPMV-serial-PI,1.0,Serial,46.59441266666667,46.59468966666666,4.946769005847954,0.23050040957684212,0.010748765128557242,1.4206239507044292,1.4206434636155065,0.01389628919498942,0.007397443891565001,0.000682574462598279
18,CPU,1600.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,58.68346666666667,58.6850085,4.728070175438597,0.27745678389736844,0.0162823853714476,0.32774364611303713,0.3277375560882513,0.026560267884597692,0.0017245566879142903,0.00016913775447154996
19,CPU,1600.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,44.822309499999996,44.8239475,6.716666666666666,0.3010582454857143,0.013494386672147527,0.18098811272981735,0.1810022775069411,0.030528229380618215,0.002144086981276989,0.00014370362434614565
20,CPU,1700.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,24.739772666666667,24.74010216666667,4.3874149659863955,0.10854366132176872,0.0026853458435952098,0.002846714784917329,0.0028530230575071393,0.012739446174151216,0.0003205120503335901,8.071179309722197e-06
21,CPU,1700.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,6.877164333333333,6.877857666666667,6.816666666666666,0.0468793395448718,0.00032239791207728857,0.013079360178031341,0.013088402907408805,0.028123424786043787,0.0002135215692750148,1.8159297513801034e-06
22,CPU,1700.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.35379066666666664,0.35400866666666664,4.220398009950249,0.0014931395201492536,5.282612650663489e-07,0.0006943430468195609,0.0006930078402634946,0.017499429813877157,7.383493757935034e-06,3.3179706547499913e-09
23,CPU,1700.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.10006216666666667,0.10023316666666666,7.0664230019493175,0.0007070636416179337,7.075972661171219e-08,0.0013813453466337297,0.0013830666530094222,0.034805107801997255,8.73753775609499e-06,1.837170560606817e-09
24,CPU,1700.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,4708.864689833333,4708.866527499999,4.156666666666666,19.573187422784,92.1675363949095,2.044639696848026,2.0447423286445763,0.04167813175595426,0.19719746010297717,0.9347175202950512
25,CPU,1700.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1179.709648,1179.7112525,7.242857142857143,8.54448890715,10.080042185498971,0.5829138303776075,0.5829146416311192,0.07979565739296571,0.09646179087090465,0.11668942224420635
26,CPU,1700.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,16.93181266666667,16.9322965,8.626923076923076,0.1460675243576923,0.0024732159292876706,0.09149834043012346,0.09148610643753491,0.042342642906224005,0.0006809176707577617,2.1898267861422065e-05
27,CPU,1700.0,SPMV,SPMV-serial-PI,1.0,Serial,43.509934166666675,43.510241,5.028070175438597,0.21877068294824564,0.009522141033070182,0.9084360348505351,0.9084188822253736,0.013589415249850877,0.004585946862151347,0.00039742169792310436
28,CPU,1700.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,55.757869666666664,55.759379833333334,4.792105263157895,0.2671925227894737,0.014898395325883822,0.3846660172017644,0.38464789819127765,0.03153505721883218,0.0018022344105357766,0.00017813824567828216
29,CPU,1700.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,44.52391633333334,44.52549366666667,6.811904761904763,0.30329099233571427,0.013503937863509273,0.2338626355026968,0.23384674708421058,0.021028002062685156,0.0014778001449794007,0.00013017414609872182
30,CPU,1800.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,23.367672,23.368025166666666,4.4624929138322,0.10427806822152778,0.0024367356401222033,0.0009483963306538099,0.0009556133981205338,0.013178857085185874,0.00030698448215430325,7.152027414000111e-06
31,CPU,1800.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,6.564217166666666,6.5648855,7.107692307692307,0.04665642896923077,0.0003062636404031651,0.011290792911335735,0.01125324459433813,0.04865042554105249,0.00032791065305862947,2.329230868820453e-06
32,CPU,1800.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.3335711666666667,0.3337673333333333,4.298258706467661,0.0014337760181592038,4.782668684771605e-07,0.00026244802660082146,0.0002661643602488331,0.0234174617627112,8.073002616306603e-06,2.8280583989779896e-09
33,CPU,1800.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.0942485,0.0944165,7.295906432748538,0.0006876199663742689,6.480755766471257e-08,0.0004417332905724888,0.0004402593553804361,0.02678337036064045,1.7667702001556775e-06,4.279346551353063e-10
34,CPU,1800.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,4449.907084833333,4449.908782333333,4.201023391812865,18.694178709005744,83.1874272837428,0.8379614161861394,0.83792289467381,0.03297513341007612,0.14905276341889062,0.6737848487881624
35,CPU,1800.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1115.4073403333334,1115.4091886666668,7.647619047619048,8.530209552514286,9.51465784265276,0.2692935136869528,0.26925280570172766,0.048374952758858794,0.053831051811650016,0.05999025537059154
36,CPU,1800.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,16.685067166666666,16.685513333333333,8.788461538461538,0.14663627001666668,0.0024466517600696216,0.04118630207443525,0.04117294286138153,0.015951108733328914,0.0005213575456888244,1.4312686354221172e-05
37,CPU,1800.0,SPMV,SPMV-serial-PI,1.0,Serial,40.77140133333333,40.7718535,5.117543859649122,0.20864702825175432,0.008507501438449453,0.42420631123625174,0.4242528459542727,0.012748001490936679,0.0019441189675017485,0.00016710182643073107
38,CPU,1800.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,53.1666895,53.16818683333333,4.833333333333333,0.25697468553859654,0.0136628358419936,0.23263970439522824,0.23264635406076656,0.03485890303724862,0.0024743857972459285,0.00017893075871633192
39,CPU,1800.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,44.26099683333334,44.26253216666667,6.91904761904762,0.30623618184047624,0.013554321896677513,0.2462864832526686,0.246272910884987,0.039036002917940925,0.0004269532865275921,7.84189830256249e-05
