run_dir,Platform,Device,Algorithm,Threads,Backend,Banks,Channels,arm_freq,gpu_freq,dmc_freq_max,policy4_freq_min,cpu_freq,policy6_freq,core_freq_min,over_voltage_min,cpu_freq_max,governor,policy0_freq_min,policy0_freq,policy0_freq_max,Device,v3d_freq_min,policy6_freq_max,dmc_freq_min,Config_Name,v3d_freq,policy4_freq,Config_ID,cpu_freq_min,TestName,arm_freq_min,cpu_governor,policy4_freq_max,core_freq,over_voltage,dmc_freq,Governor,dmc_governor,gpu_freq_max,policy6_freq_min,cores_online,gpu_freq_min,emc_max_freq,gpu_governor,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min850\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,850,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1496.259586,29925.21826,,,3.5766666666666667,4.1
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min850\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,850,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1498.364959,29967.325353,,,3.6033333333333335,4.096774193548387
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min850\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,850,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1495.21907,29904.410168,,,3.591666666666667,4.109677419354838
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min900\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,900,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1443.119758,28862.425335,,,3.62,4.203225806451614
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min900\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,900,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1439.694236,28793.913668,,,4.065,4.193548387096774
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min900\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,900,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1441.249367,28825.015205,,,4.073333333333333,4.2
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min960\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,960,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1377.784881,27555.72515,,,4.118333333333333,4.348387096774194
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min960\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,960,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1383.48681,27669.766206,,,3.6983333333333333,4.358064516129032
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min960\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,960,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1380.332069,27606.669039,,,3.701666666666667,4.335483870967742
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2240.915764,44818.342788,,,3.39,3.7632653061224492
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2235.041708,44700.863084,,,3.3766666666666665,3.7551020408163267
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2239.217033,44784.367011,,,3.871666666666667,3.7408163265306125
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run4,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2241.589684,44831.821788,,,3.89,3.742857142857143
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run5,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2241.4351,44828.730788,,,3.4316666666666666,3.7591836734693875
