run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy0_freq_min,v3d_freq,gpu_freq,dmc_freq,Device,v3d_freq_min,dmc_governor,gpu_governor,policy0_freq,policy4_freq,policy0_freq_max,policy6_freq,dmc_freq_min,TestName,Governor,gpu_freq_max,cores_online,arm_freq_min,cpu_governor,cpu_freq,cpu_freq_max,core_freq,dmc_freq_max,cpu_freq_min,arm_freq,over_voltage_min,Config_ID,governor,policy6_freq_max,policy6_freq_min,policy4_freq_min,policy4_freq_max,Config_Name,over_voltage,core_freq_min,emc_max_freq,gpu_freq_min,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.090206,31611.360463,,,3.2916666666666665,3.896774193548387
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.078814,31566.296815,,,3.2916666666666665,3.9161290322580644
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run6,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.119113,31724.100351,,,3.29,3.8774193548387097
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run7,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.305595,32452.90224,,,3.3299999999999996,3.903225806451613
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run8,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.187427,31990.733815,,,3.295,3.8548387096774195
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run9,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.101292,31654.086796,,,3.3216666666666663,3.893548387096774
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run1,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.919311,30943.407333,,,3.316666666666667,3.9
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run2,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.759679,30320.038167,,,3.3266666666666667,3.89
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run3,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.785682,30421.115722,,,3.3399999999999994,3.8870967741935485
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.807923,30508.770593,,,3.3233333333333333,3.958064516129032
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.677469,29998.471001,,,3.3516666666666666,3.9419354838709677
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run6,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,7.864406,30728.890445,,,3.3049999999999997,3.893548387096774
