run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,Device,governor,cpu_freq,policy4_freq_max,v3d_freq,cpu_freq_max,over_voltage,core_freq,gpu_freq_min,dmc_freq_min,cpu_governor,over_voltage_min,dmc_governor,policy0_freq_max,core_freq_min,TestName,gpu_freq,policy0_freq,Config_ID,gpu_governor,Governor,Config_Name,policy4_freq,policy0_freq_min,cores_online,policy6_freq_min,emc_max_freq,policy6_freq,dmc_freq,policy4_freq_min,policy6_freq_max,v3d_freq_min,dmc_freq_max,gpu_freq_max,cpu_freq_min,arm_freq_min,arm_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.392791,28886.245223,,,3.36,3.952
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run6,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.37222,28805.506076,,,3.338333333333333,4.024
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run7,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.37932,28833.528298,,,3.3299999999999996,3.9960000000000004
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run8,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.385785,28858.808298,,,3.3,3.96
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run9,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.322101,28610.065798,,,3.3516666666666666,4.004
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min750\run1,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,750,0,0,0,1500,0,7.123491,27833.987576,,,3.4650000000000003,4.112
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min750\run2,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,750,0,0,0,1500,0,7.206068,28157.270187,,,3.4916666666666667,4.08
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min750\run3,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,750,0,0,0,1500,0,7.060555,27588.134298,,,3.4616666666666664,4.072
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min750\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,750,0,0,0,1500,0,7.036295,27493.384391,,,3.475,4.096
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min750\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,750,0,0,0,1500,0,7.045648,27530.139335,,,3.49,4.1
