run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,over_voltage,cpu_freq_min,gpu_freq_min,arm_freq,dmc_freq_max,gpu_governor,TestName,emc_max_freq,gpu_freq_max,policy6_freq_min,policy6_freq_max,policy0_freq_max,Device,policy4_freq_min,v3d_freq,Config_ID,dmc_freq_min,Governor,cpu_governor,governor,over_voltage_min,cores_online,cpu_freq_max,core_freq_min,core_freq,v3d_freq_min,policy6_freq,gpu_freq,cpu_freq,arm_freq_min,policy0_freq,Config_Name,dmc_governor,policy4_freq_max,policy4_freq,dmc_freq,policy0_freq_min,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52459,33310.830629,,,4.058333333333334,5.393548387096775
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.509222,37160.350108,,,4.09,5.370270270270271
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.480359,33138.629776,,,4.076666666666666,5.409677419354839
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.343128,32602.035369,,,4.05,5.432258064516129
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.520529,33295.124962,,,4.076666666666666,5.4
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.557386,33440.506665,,,4.073333333333333,5.412903225806452
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18629,31990.116592,,,4.0633333333333335,5.5
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.521998,33301.724313,,,4.131666666666666,5.487096774193549
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.426558,32928.226499,,,4.074999999999999,5.467741935483871
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.503915,33231.783665,,,4.076666666666666,5.458064516129033
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555478,33433.784628,,,4.08,5.441935483870968
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.542799,33383.494203,,,4.09,5.461290322580646
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.591474,33573.235258,,,4.086666666666667,5.474193548387096
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.271175,32321.826925,,,4.0616666666666665,5.5
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2100\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2100,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.371484,32713.851573,,,4.153333333333333,5.461290322580646
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.182059,31973.694462,,,4.1033333333333335,5.512903225806451
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.564714,33468.97022,,,4.1033333333333335,5.483870967741935
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.045387,31440.294722,,,4.081666666666666,5.47741935483871
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523681,37215.437663,,,4.0633333333333335,5.440540540540541
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.297942,32426.139907,,,4.1083333333333325,5.493548387096775
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.391106,32790.516906,,,4.0616666666666665,5.487096774193549
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.385989,32769.601185,,,4.08,5.487096774193549
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.379424,32745.309443,,,4.1033333333333335,5.467741935483871
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2200\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2200,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.533142,37253.906311,,,4.1049999999999995,5.45945945945946
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2300\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2300,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08649,31600.65037,,,4.073333333333333,5.596774193548387
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq2300\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,2300,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.466136,33082.415073,,,4.113333333333333,5.529032258064516
