run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy6_freq,core_freq_min,Config_ID,Config_Name,policy0_freq_max,Governor,gpu_freq,v3d_freq_min,policy6_freq_min,policy0_freq_min,over_voltage,cpu_freq_max,cpu_freq,Device,over_voltage_min,dmc_freq_min,policy4_freq_min,policy0_freq,dmc_freq,gpu_governor,TestName,dmc_freq_max,gpu_freq_max,policy4_freq_max,cpu_governor,arm_freq_min,policy4_freq,policy6_freq_max,cores_online,v3d_freq,governor,arm_freq,emc_max_freq,dmc_governor,gpu_freq_min,cpu_freq_min,core_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq700000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,700000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,68294.905616,93.125506,117.851668,1.7466666666666666,4.842857142857143
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq700000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,700000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,67140.310157,85.682575,109.877699,1.7533333333333334,4.852380952380953
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq700000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,700000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,73629.559827,87.240925,111.467491,1.7533333333333334,4.888888888888889
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq400000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,400000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,77141.086495,108.668193,134.704005,1.7533333333333334,4.539393939393939
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq400000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,400000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,76670.289245,111.415647,137.508245,1.7466666666666666,4.5606060606060606
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq400000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,400000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75974.82612,106.354772,131.880871,1.7466666666666666,4.54375
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq400000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,400000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75333.091203,106.596197,132.379047,1.7533333333333334,4.5562499999999995
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq500000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,500000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69324.575867,101.798287,127.137433,1.7466666666666666,4.644444444444444
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq500000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,500000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69133.585825,100.92273,126.27356,1.7666666666666666,4.662962962962963
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq500000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,500000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69628.0107,104.06008,129.803561,1.7466666666666666,4.640740740740741
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq500000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,500000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69378.627533,103.161801,128.785402,1.7333333333333334,4.655555555555556
