run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,governor,dmc_governor,arm_freq,core_freq_min,gpu_governor,Device,policy0_freq,policy4_freq_max,over_voltage_min,over_voltage,gpu_freq_max,cpu_freq_min,cpu_freq,policy6_freq_min,dmc_freq_min,dmc_freq,policy4_freq,v3d_freq,gpu_freq,policy6_freq,policy4_freq_min,gpu_freq_min,cpu_governor,emc_max_freq,Config_ID,TestName,cpu_freq_max,dmc_freq_max,cores_online,policy0_freq_max,core_freq,arm_freq_min,policy0_freq_min,v3d_freq_min,Governor,policy6_freq_max,Config_Name,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,196496.11492,11769.588928,11879.820193,3.3866666666666663,4.0409448818897635
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,196327.218679,11769.49834,11872.81148,3.3733333333333335,4.054761904761905
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,196274.226586,11769.380484,11872.767288,3.4,4.04793388429752
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,196520.19629,11769.283479,11878.773339,3.3733333333333335,4.037007874015748
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,184457.952186,11769.453051,11873.341837,3.38,4.032173913043478
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193876.963532,11560.945338,11664.148564,3.3,4.048031496062992
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,181523.56341,11561.020513,11664.199111,3.38,4.034782608695652
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193331.744774,11560.77113,11663.914786,3.36,4.035433070866142
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193275.248718,11561.223526,11664.37795,3.353333333333333,4.04251968503937
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193249.922625,11561.37737,11664.147258,3.3866666666666663,4.0409448818897635
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq960\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193409.329255,11560.552413,11670.277119,3.4,4.059055118110236
bench_logs\HPEC\BFS-OpenMP-PI4\arm_freq1500\run1,OpenMP,RaspberryPiComputeModule5,BFS,4,,,,,,,0,0,1500,910,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenMP-PI4,0,0,0,0,910,0,0,500,performance,0,0,,129639.101071,2222.308028,2222.30894,2.9,5.841379310344828
bench_logs\HPEC\BFS-OpenMP-PI4\arm_freq1500\run2,OpenMP,RaspberryPiComputeModule5,BFS,4,,,,,,,0,0,1500,910,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenMP-PI4,0,0,0,0,910,0,0,500,performance,0,0,,107413.599214,2220.193631,2220.194435,2.753333333333333,5.921428571428572
bench_logs\HPEC\BFS-OpenMP-PI4\arm_freq1500\run3,OpenMP,RaspberryPiComputeModule5,BFS,4,,,,,,,0,0,1500,910,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenMP-PI4,0,0,0,0,910,0,0,500,performance,0,0,,113937.952302,2219.625133,2219.626038,2.8466666666666662,5.875
bench_logs\HPEC\BFS-OpenMP-PI4\arm_freq1500\run4,OpenMP,RaspberryPiComputeModule5,BFS,4,,,,,,,0,0,1500,910,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenMP-PI4,0,0,0,0,910,0,0,500,performance,0,0,,118293.036707,2216.289276,2216.290252,2.7133333333333334,5.807142857142857
